idEntrada	usuarioOnline	statusSaida	paginaSaida	avaliacao.r	dataHoraEntrada	dataHoraSaida	dataHoraErro	tempoAcesso	codigo	erro
42	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 17:59	215	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
43	0	60%	2	negativa	18/05/2021 17:57	18/05/2021 17:58	18/05/2021 17:58	88	550	"""ERRO NA VALIDACAO DE DADOS BASICOS"""
44	1	80%	1	positiva	18/05/2021 17:57	18/05/2021 18:05	18/05/2021 18:04	500	500	"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
45	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:02	385	500	"""CHAVE PIX INCORRETA"""
46	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 17:59	18/05/2021 17:58	105	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
47	1	80%	1	n/ avaliado	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 18:00	192	550	"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
48	0	60%	2	positiva	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	184	500	"""INTERNAL SERVER ERROR"""
49	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:01	334	550	"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
50	0	40%	3	positiva	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	230	500	"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
51	0	100%	0	negativa	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:00	270	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
52	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	237	500	"""CLIENTE NAO CADASTRADO"""
53	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	235	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
54	0	100%	0	positiva	18/05/2021 17:57	18/05/2021 18:04	18/05/2021 18:03	404	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
55	0	60%	2	positiva	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 17:59	213	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
56	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:04	18/05/2021 18:03	422	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
57	1	80%	1	positiva	18/05/2021 17:57	18/05/2021 17:58	18/05/2021 17:57	54	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
58	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	310	550	"""ERRO NA VALIDACAO DE DADOS BASICOS"""
59	0	20%	4	positiva	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	255	500	"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
60	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	266	500	"""CHAVE PIX INCORRETA"""
61	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:00	286	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
62	0	100%	0	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	180	550	"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
63	0	60%	2	positiva	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	200	500	"""INTERNAL SERVER ERROR"""
64	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 17:59	18/05/2021 17:57	118	550	"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
65	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 17:59	18/05/2021 17:58	111	500	"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
66	0	60%	2	positiva	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	276	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
67	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	294	500	"""CLIENTE NAO CADASTRADO"""
68	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	246	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
69	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:02	351	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
70	0	60%	2	positiva	18/05/2021 17:57	18/05/2021 18:05	18/05/2021 18:03	486	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
71	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	181	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
72	0	40%	3	n/ avaliado	18/05/2021 17:57	18/05/2021 17:56	18/05/2021 17:56	NA	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
73	0	40%	3	n/ avaliado	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:03	361	550	"""ERRO NA VALIDACAO DE DADOS BASICOS"""
74	0	100%	0	n/ avaliado	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	155	500	"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
75	0	60%	2	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:58	157	500	"""CHAVE PIX INCORRETA"""
76	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:02	363	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
77	0	60%	2	positiva	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	206	550	"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
78	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 17:59	18/05/2021 17:58	94	500	"""INTERNAL SERVER ERROR"""
79	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	262	550	"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
80	0	100%	0	positiva	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	223	500	"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
81	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 17:59	241	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
82	0	40%	3	positiva	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	286	500	"""CLIENTE NAO CADASTRADO"""
83	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	196	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
84	0	40%	3	n/ avaliado	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:02	317	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
85	0	100%	0	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 17:59	214	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
86	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	280	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
87	0	20%	4	negativa	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:03	372	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
88	0	20%	4	positiva	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:00	292	550	"""ERRO NA VALIDACAO DE DADOS BASICOS"""
89	0	20%	4	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 18:00	201	500	"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
90	1	80%	1	positiva	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:03	378	500	"""CHAVE PIX INCORRETA"""
91	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:01	359	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
92	0	40%	3	positiva	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:02	306	550	"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
93	1	80%	1	positiva	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:00	269	500	"""INTERNAL SERVER ERROR"""
94	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:58	165	550	"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
95	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:04	18/05/2021 18:03	403	500	"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
96	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	168	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
97	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:05	18/05/2021 18:04	502	500	"""CLIENTE NAO CADASTRADO"""
98	0	100%	0	negativa	18/05/2021 17:57	18/05/2021 18:04	18/05/2021 18:03	424	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
99	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 17:59	212	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
100	0	60%	2	negativa	18/05/2021 17:57	18/05/2021 17:59	18/05/2021 17:58	117	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
101	0	60%	2	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:58	155	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
102	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:00	271	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
103	0	60%	2	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	210	550	"""ERRO NA VALIDACAO DE DADOS BASICOS"""
104	0	20%	4	positiva	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 18:00	198	500	"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
105	0	60%	2	positiva	18/05/2021 17:57	18/05/2021 17:59	18/05/2021 17:58	126	500	"""CHAVE PIX INCORRETA"""
106	0	20%	4	n/ avaliado	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	235	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
107	0	20%	4	negativa	18/05/2021 17:57	18/05/2021 17:59	18/05/2021 17:59	146	550	"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
108	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 17:58	18/05/2021 17:57	40	500	"""INTERNAL SERVER ERROR"""
109	0	60%	2	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 18:00	194	550	"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
110	1	80%	1	positiva	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:02	350	500	"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
111	0	20%	4	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	171	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
112	1	80%	1	positiva	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	313	500	"""CLIENTE NAO CADASTRADO"""
113	0	100%	0	negativa	18/05/2021 17:57	18/05/2021 17:58	18/05/2021 17:56	46	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
114	0	20%	4	n/ avaliado	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	233	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
115	0	40%	3	positiva	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	302	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
116	1	80%	1	positiva	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:00	276	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
117	0	60%	2	positiva	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	253	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
118	0	20%	4	positiva	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	163	550	"""ERRO NA VALIDACAO DE DADOS BASICOS"""
119	0	60%	2	negativa	18/05/2021 17:57	18/05/2021 17:59	18/05/2021 17:58	138	500	"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
120	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 17:59	18/05/2021 17:59	117	500	"""CHAVE PIX INCORRETA"""
121	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:01	254	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
122	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 17:59	18/05/2021 17:59	126	550	"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
123	1	80%	1	n/ avaliado	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:58	181	500	"""INTERNAL SERVER ERROR"""
124	1	80%	1	n/ avaliado	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	209	550	"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
125	1	80%	1	positiva	18/05/2021 17:57	18/05/2021 18:05	18/05/2021 18:04	461	500	"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
126	0	20%	4	n/ avaliado	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:57	162	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
127	1	80%	1	positiva	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:01	268	500	"""CLIENTE NAO CADASTRADO"""
128	0	100%	0	n/ avaliado	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	249	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
129	1	80%	1	n/ avaliado	18/05/2021 17:57	18/05/2021 17:59	18/05/2021 17:58	125	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
130	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:01	231	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
131	0	60%	2	negativa	18/05/2021 17:57	18/05/2021 18:04	18/05/2021 18:03	413	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
132	0	20%	4	negativa	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	294	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
133	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	245	550	"""ERRO NA VALIDACAO DE DADOS BASICOS"""
134	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 18:00	189	500	"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
135	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 17:57	18/05/2021 17:56	NA	500	"""CHAVE PIX INCORRETA"""
136	0	40%	3	positiva	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:03	376	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
137	0	40%	3	n/ avaliado	18/05/2021 17:57	18/05/2021 17:58	18/05/2021 17:57	65	550	"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
138	0	40%	3	n/ avaliado	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:01	329	500	"""INTERNAL SERVER ERROR"""
139	0	20%	4	n/ avaliado	18/05/2021 17:57	18/05/2021 18:05	18/05/2021 18:03	469	550	"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
140	0	60%	2	negativa	18/05/2021 17:57	18/05/2021 17:58	18/05/2021 17:57	67	500	"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
141	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:02	324	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
142	0	60%	2	negativa	18/05/2021 17:57	18/05/2021 18:01	18/05/2021 18:00	209	500	"""CLIENTE NAO CADASTRADO"""
143	0	100%	0	positiva	18/05/2021 17:57	18/05/2021 17:58	18/05/2021 17:57	51	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
144	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 17:58	18/05/2021 17:57	58	550	"""NAO ENCONTROU DADOS PARA A SELECAO"""
145	0	40%	3	positiva	18/05/2021 17:57	18/05/2021 17:58	18/05/2021 17:57	48	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
146	1	80%	1	positiva	18/05/2021 17:57	18/05/2021 18:00	18/05/2021 17:59	176	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
147	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 17:58	18/05/2021 17:58	65	500	"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
148	0	100%	0	negativa	18/05/2021 17:57	18/05/2021 18:02	18/05/2021 18:01	323	550	"""ERRO NA VALIDACAO DE DADOS BASICOS"""
149	1	80%	1	negativa	18/05/2021 17:57	18/05/2021 18:05	18/05/2021 18:04	492	500	"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
150	0	40%	3	n/ avaliado	18/05/2021 17:57	18/05/2021 17:58	18/05/2021 17:57	86	500	"""CHAVE PIX INCORRETA"""
151	0	40%	3	negativa	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:02	335	550	"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
152	0	60%	2	n/ avaliado	18/05/2021 17:57	18/05/2021 18:03	18/05/2021 18:02	332	550	"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
